Program,ExecutionTime,InputFile,TestNum
low.py,4.077,data/input0.txt,1
low.py,4.362,data/input0.txt,2
low.py,4.323,data/input0.txt,3
low.py,3.846,data/input0.txt,4
low.py,4.092,data/input0.txt,5
low.py,4.1,data/input0.txt,6
low.py,4.07,data/input0.txt,7
low.py,4.074,data/input0.txt,8
low.py,4.09,data/input0.txt,9
low.py,4.083,data/input0.txt,10
low.py,4.077,data/input1.txt,1
low.py,4.098,data/input1.txt,2
low.py,3.849,data/input1.txt,3
low.py,3.844,data/input1.txt,4
low.py,4.062,data/input1.txt,5
low.py,4.312,data/input1.txt,6
low.py,4.132,data/input1.txt,7
low.py,4.075,data/input1.txt,8
low.py,4.111,data/input1.txt,9
low.py,4.096,data/input1.txt,10
low.py,3.909,data/input2.txt,1
low.py,3.87,data/input2.txt,2
low.py,4.071,data/input2.txt,3
low.py,3.859,data/input2.txt,4
low.py,4.091,data/input2.txt,5
low.py,4.059,data/input2.txt,6
low.py,4.083,data/input2.txt,7
low.py,3.852,data/input2.txt,8
low.py,4.094,data/input2.txt,9
low.py,4.117,data/input2.txt,10
low.py,4.064,data/input3.txt,1
low.py,4.043,data/input3.txt,2
low.py,3.825,data/input3.txt,3
low.py,4.121,data/input3.txt,4
low.py,3.848,data/input3.txt,5
low.py,4.11,data/input3.txt,6
low.py,3.87,data/input3.txt,7
low.py,3.965,data/input3.txt,8
low.py,4.095,data/input3.txt,9
low.py,4.068,data/input3.txt,10
low.py,3.991,data/input4.txt,1
low.py,4.08,data/input4.txt,2
low.py,4.066,data/input4.txt,3
low.py,3.853,data/input4.txt,4
low.py,3.9,data/input4.txt,5
low.py,4.118,data/input4.txt,6
low.py,4.08,data/input4.txt,7
low.py,4.403,data/input4.txt,8
low.py,3.844,data/input4.txt,9
low.py,4.08,data/input4.txt,10
low.py,4.07,data/input5.txt,1
low.py,4.064,data/input5.txt,2
low.py,4.056,data/input5.txt,3
low.py,4.122,data/input5.txt,4
low.py,3.866,data/input5.txt,5
low.py,3.848,data/input5.txt,6
low.py,4.053,data/input5.txt,7
low.py,3.851,data/input5.txt,8
low.py,4.114,data/input5.txt,9
low.py,3.855,data/input5.txt,10
low.py,4.092,data/input6.txt,1
low.py,3.852,data/input6.txt,2
low.py,3.859,data/input6.txt,3
low.py,3.865,data/input6.txt,4
low.py,3.867,data/input6.txt,5
low.py,4.062,data/input6.txt,6
low.py,3.856,data/input6.txt,7
low.py,3.888,data/input6.txt,8
low.py,3.848,data/input6.txt,9
low.py,4.066,data/input6.txt,10
low.py,4.057,data/input7.txt,1
low.py,3.944,data/input7.txt,2
low.py,4.085,data/input7.txt,3
low.py,4.09,data/input7.txt,4
low.py,4.354,data/input7.txt,5
low.py,3.846,data/input7.txt,6
low.py,4.07,data/input7.txt,7
low.py,4.56,data/input7.txt,8
low.py,3.842,data/input7.txt,9
low.py,3.875,data/input7.txt,10
low.py,4.063,data/input8.txt,1
low.py,4.073,data/input8.txt,2
low.py,4.074,data/input8.txt,3
low.py,3.878,data/input8.txt,4
low.py,4.066,data/input8.txt,5
low.py,4.078,data/input8.txt,6
low.py,4.081,data/input8.txt,7
low.py,4.083,data/input8.txt,8
low.py,4.084,data/input8.txt,9
low.py,4.09,data/input8.txt,10
low.py,3.85,data/input9.txt,1
low.py,4.082,data/input9.txt,2
low.py,4.077,data/input9.txt,3
low.py,4.153,data/input9.txt,4
low.py,4.084,data/input9.txt,5
low.py,3.848,data/input9.txt,6
low.py,3.856,data/input9.txt,7
low.py,4.105,data/input9.txt,8
low.py,4.071,data/input9.txt,9
low.py,4.057,data/input9.txt,10
medium.py,5.124,data/input0.txt,1
medium.py,5.101,data/input0.txt,2
medium.py,5.096,data/input0.txt,3
medium.py,4.88,data/input0.txt,4
medium.py,4.833,data/input0.txt,5
medium.py,4.873,data/input0.txt,6
medium.py,5.092,data/input0.txt,7
medium.py,5.102,data/input0.txt,8
medium.py,5.13,data/input0.txt,9
medium.py,4.862,data/input0.txt,10
medium.py,5.425,data/input1.txt,1
medium.py,5.19,data/input1.txt,2
medium.py,5.393,data/input1.txt,3
medium.py,5.201,data/input1.txt,4
medium.py,5.388,data/input1.txt,5
medium.py,5.397,data/input1.txt,6
medium.py,5.435,data/input1.txt,7
medium.py,5.448,data/input1.txt,8
medium.py,5.4,data/input1.txt,9
medium.py,5.38,data/input1.txt,10
medium.py,5.542,data/input2.txt,1
medium.py,5.567,data/input2.txt,2
medium.py,5.582,data/input2.txt,3
medium.py,5.548,data/input2.txt,4
medium.py,5.55,data/input2.txt,5
medium.py,5.527,data/input2.txt,6
medium.py,5.576,data/input2.txt,7
medium.py,5.544,data/input2.txt,8
medium.py,5.367,data/input2.txt,9
medium.py,5.684,data/input2.txt,10
medium.py,5.592,data/input3.txt,1
medium.py,5.804,data/input3.txt,2
medium.py,5.819,data/input3.txt,3
medium.py,5.498,data/input3.txt,4
medium.py,5.962,data/input3.txt,5
medium.py,5.602,data/input3.txt,6
medium.py,5.623,data/input3.txt,7
medium.py,5.814,data/input3.txt,8
medium.py,5.66,data/input3.txt,9
medium.py,5.846,data/input3.txt,10
medium.py,5.935,data/input4.txt,1
medium.py,5.967,data/input4.txt,2
medium.py,5.966,data/input4.txt,3
medium.py,5.966,data/input4.txt,4
medium.py,5.653,data/input4.txt,5
medium.py,5.794,data/input4.txt,6
medium.py,6.091,data/input4.txt,7
medium.py,5.759,data/input4.txt,8
medium.py,5.614,data/input4.txt,9
medium.py,5.725,data/input4.txt,10
medium.py,5.912,data/input5.txt,1
medium.py,5.934,data/input5.txt,2
medium.py,6.158,data/input5.txt,3
medium.py,6.174,data/input5.txt,4
medium.py,5.92,data/input5.txt,5
medium.py,6.182,data/input5.txt,6
medium.py,6.153,data/input5.txt,7
medium.py,6.176,data/input5.txt,8
medium.py,6.186,data/input5.txt,9
medium.py,6.145,data/input5.txt,10
medium.py,5.53,data/input6.txt,1
medium.py,5.421,data/input6.txt,2
medium.py,5.406,data/input6.txt,3
medium.py,5.481,data/input6.txt,4
medium.py,5.777,data/input6.txt,5
medium.py,5.782,data/input6.txt,6
medium.py,5.668,data/input6.txt,7
medium.py,5.415,data/input6.txt,8
medium.py,5.625,data/input6.txt,9
medium.py,5.646,data/input6.txt,10
medium.py,4.872,data/input7.txt,1
medium.py,5.083,data/input7.txt,2
medium.py,5.125,data/input7.txt,3
medium.py,5.075,data/input7.txt,4
medium.py,5.113,data/input7.txt,5
medium.py,5.098,data/input7.txt,6
medium.py,5.122,data/input7.txt,7
medium.py,5.087,data/input7.txt,8
medium.py,4.892,data/input7.txt,9
medium.py,5.093,data/input7.txt,10
medium.py,5.331,data/input8.txt,1
medium.py,5.182,data/input8.txt,2
medium.py,5.119,data/input8.txt,3
medium.py,5.219,data/input8.txt,4
medium.py,5.338,data/input8.txt,5
medium.py,5.369,data/input8.txt,6
medium.py,5.34,data/input8.txt,7
medium.py,5.537,data/input8.txt,8
medium.py,5.352,data/input8.txt,9
medium.py,5.394,data/input8.txt,10
medium.py,4.845,data/input9.txt,1
medium.py,4.602,data/input9.txt,2
medium.py,4.869,data/input9.txt,3
medium.py,4.553,data/input9.txt,4
medium.py,4.918,data/input9.txt,5
medium.py,4.762,data/input9.txt,6
medium.py,4.645,data/input9.txt,7
medium.py,4.561,data/input9.txt,8
medium.py,4.569,data/input9.txt,9
medium.py,4.837,data/input9.txt,10
high.py,5.403,data/input0.txt,1
high.py,5.617,data/input0.txt,2
high.py,5.588,data/input0.txt,3
high.py,5.515,data/input0.txt,4
high.py,5.605,data/input0.txt,5
high.py,5.551,data/input0.txt,6
high.py,5.374,data/input0.txt,7
high.py,5.557,data/input0.txt,8
high.py,5.371,data/input0.txt,9
high.py,5.394,data/input0.txt,10
high.py,5.656,data/input1.txt,1
high.py,5.757,data/input1.txt,2
high.py,5.451,data/input1.txt,3
high.py,5.562,data/input1.txt,4
high.py,5.411,data/input1.txt,5
high.py,5.59,data/input1.txt,6
high.py,5.568,data/input1.txt,7
high.py,5.568,data/input1.txt,8
high.py,5.359,data/input1.txt,9
high.py,5.351,data/input1.txt,10
high.py,5.351,data/input2.txt,1
high.py,5.597,data/input2.txt,2
high.py,5.36,data/input2.txt,3
high.py,5.595,data/input2.txt,4
high.py,5.583,data/input2.txt,5
high.py,5.6,data/input2.txt,6
high.py,5.631,data/input2.txt,7
high.py,5.56,data/input2.txt,8
high.py,5.554,data/input2.txt,9
high.py,5.586,data/input2.txt,10
high.py,5.458,data/input3.txt,1
high.py,5.526,data/input3.txt,2
high.py,5.323,data/input3.txt,3
high.py,5.588,data/input3.txt,4
high.py,5.558,data/input3.txt,5
high.py,5.56,data/input3.txt,6
high.py,5.351,data/input3.txt,7
high.py,5.587,data/input3.txt,8
high.py,5.56,data/input3.txt,9
high.py,5.565,data/input3.txt,10
high.py,5.367,data/input4.txt,1
high.py,5.591,data/input4.txt,2
high.py,5.374,data/input4.txt,3
high.py,5.556,data/input4.txt,4
high.py,5.571,data/input4.txt,5
high.py,5.563,data/input4.txt,6
high.py,5.332,data/input4.txt,7
high.py,5.605,data/input4.txt,8
high.py,5.569,data/input4.txt,9
high.py,5.577,data/input4.txt,10
high.py,5.324,data/input5.txt,1
high.py,5.347,data/input5.txt,2
high.py,5.567,data/input5.txt,3
high.py,5.456,data/input5.txt,4
high.py,5.583,data/input5.txt,5
high.py,5.339,data/input5.txt,6
high.py,5.341,data/input5.txt,7
high.py,5.604,data/input5.txt,8
high.py,5.349,data/input5.txt,9
high.py,5.562,data/input5.txt,10
high.py,5.605,data/input6.txt,1
high.py,5.329,data/input6.txt,2
high.py,5.561,data/input6.txt,3
high.py,5.592,data/input6.txt,4
high.py,5.559,data/input6.txt,5
high.py,5.552,data/input6.txt,6
high.py,5.347,data/input6.txt,7
high.py,5.353,data/input6.txt,8
high.py,5.562,data/input6.txt,9
high.py,5.596,data/input6.txt,10
high.py,5.56,data/input7.txt,1
high.py,5.339,data/input7.txt,2
high.py,5.398,data/input7.txt,3
high.py,5.552,data/input7.txt,4
high.py,5.352,data/input7.txt,5
high.py,5.556,data/input7.txt,6
high.py,5.551,data/input7.txt,7
high.py,5.582,data/input7.txt,8
high.py,5.36,data/input7.txt,9
high.py,5.571,data/input7.txt,10
high.py,5.406,data/input8.txt,1
high.py,5.584,data/input8.txt,2
high.py,5.359,data/input8.txt,3
high.py,5.344,data/input8.txt,4
high.py,5.344,data/input8.txt,5
high.py,5.595,data/input8.txt,6
high.py,5.333,data/input8.txt,7
high.py,5.388,data/input8.txt,8
high.py,5.345,data/input8.txt,9
high.py,5.577,data/input8.txt,10
high.py,5.57,data/input9.txt,1
high.py,5.341,data/input9.txt,2
high.py,5.381,data/input9.txt,3
high.py,5.366,data/input9.txt,4
high.py,5.629,data/input9.txt,5
high.py,5.633,data/input9.txt,6
high.py,5.394,data/input9.txt,7
high.py,5.591,data/input9.txt,8
high.py,5.352,data/input9.txt,9
high.py,5.353,data/input9.txt,10
