Program,ExecutionTime,TestNum
low.py,6.558,1
low.py,5.899,2
low.py,5.654,3
low.py,5.4,4
low.py,5.654,5
low.py,4.704,6
low.py,6.122,7
low.py,5.716,8
low.py,6.002,9
low.py,4.881,10
medium.py,18.782,1
medium.py,18.474,2
medium.py,18.912,3
medium.py,19.061,4
medium.py,18.997,5
medium.py,18.441,6
medium.py,18.698,7
medium.py,18.692,8
medium.py,18.745,9
medium.py,18.836,10
high.py,29.849,1
high.py,37.622,2
high.py,29.457,3
high.py,29.401,4
high.py,29.092,5
high.py,29.645,6
high.py,29.159,7
high.py,29.054,8
high.py,29.475,9
high.py,29.392,10
